timestamp ba_x ba_y ba_z bg_x bg_y bg_z
1683613553.913645 0.05223557 -0.12801572 0.00591135 -0.00015587 0.00004786 0.00126403
1683613553.980360 0.05217431 -0.12792040 0.00591798 -0.00015781 0.00004746 0.00126430
1683613554.047075 0.05211398 -0.12781619 0.00591395 -0.00015771 0.00004597 0.00126391
1683613554.113791 0.05195657 -0.12753391 0.00589088 -0.00015750 0.00004651 0.00126252
1683613554.180507 0.05199593 -0.12755274 0.00590410 -0.00015430 0.00004455 0.00126117
1683613554.247222 0.05177073 -0.12712357 0.00585076 -0.00015353 0.00004639 0.00126000
1683613554.313938 0.05174756 -0.12703829 0.00587079 -0.00015397 0.00004875 0.00126018
1683613554.380653 0.05142560 -0.12656506 0.00582606 -0.00015597 0.00005013 0.00125731
1683613554.447369 0.05184026 -0.12715506 0.00592775 -0.00015371 0.00004513 0.00125432
1683613554.514085 0.05203578 -0.12731886 0.00591943 -0.00014873 0.00003834 0.00125615
1683613554.580800 0.05166976 -0.12675251 0.00583728 -0.00015080 0.00003847 0.00125917
1683613554.647516 0.05135284 -0.12632050 0.00582466 -0.00015468 0.00004365 0.00125961
1683613554.714232 0.05204490 -0.12745480 0.00602118 -0.00015506 0.00003418 0.00125658
1683613554.780947 0.05109069 -0.12588171 0.00572800 -0.00015991 0.00003628 0.00125860
1683613554.847663 0.04945797 -0.12357475 0.00551182 -0.00017394 0.00006201 0.00125338
1683613554.914379 0.05330104 -0.12924795 0.00645865 -0.00015554 0.00003347 0.00125749
1683613554.981094 0.05046389 -0.12451068 0.00544242 -0.00014213 0.00003213 0.00126662
1683613555.047809 0.05014950 -0.12438959 0.00569877 -0.00016473 0.00005735 0.00125847
1683613555.114524 0.05107540 -0.12576947 0.00594600 -0.00016255 0.00005020 0.00125323
1683613555.181238 0.05041683 -0.12467874 0.00571407 -0.00015888 0.00004689 0.00124811
1683613555.247953 0.05317127 -0.12872548 0.00633435 -0.00014339 0.00001926 0.00124792
1683613555.314668 0.05043199 -0.12440216 0.00547618 -0.00014351 0.00002348 0.00124878
1683613555.381383 0.05127975 -0.12593071 0.00593774 -0.00015674 0.00003347 0.00124693
1683613555.448098 0.04912189 -0.12265712 0.00542543 -0.00016685 0.00004980 0.00124545
1683613555.514812 0.05181967 -0.12669350 0.00620269 -0.00015715 0.00003803 0.00124232
1683613555.581527 0.05105686 -0.12513509 0.00573885 -0.00013826 0.00002199 0.00124028
1683613555.648242 0.04582295 -0.11763312 0.00481137 -0.00018587 0.00008384 0.00123319
1683613555.714957 0.04582308 -0.11763306 0.00481135 0.02171286 -0.02555176 -0.00040129
1683613555.781671 0.04582308 -0.11763305 0.00481135 0.01857879 -0.02183456 -0.00336368
1683613555.848386 0.04582308 -0.11763306 0.00481135 -0.00379064 0.00080353 -0.01594745
1683613555.915100 0.04582310 -0.11763304 0.00481135 0.02879270 -0.02599608 -0.07349591
1683613555.981815 0.04582312 -0.11763305 0.00481134 -0.04233600 0.01234500 0.04988192
1683613556.048530 0.04582313 -0.11763304 0.00481134 -0.06309017 0.02028006 0.03477255
1683613556.115245 0.04582294 -0.11763309 0.00481128 -0.16682827 0.19274396 0.07986083
1683613556.181960 0.11848074 -1.43580254 2.59024935 -0.12997232 0.10264621 0.03022345
1683613556.248675 -0.34921001 -0.19092816 0.35565123 -0.07100452 0.02196905 -0.00748556
1683613556.315389 0.13413340 -0.49243490 -0.34891406 -0.06177245 0.02714933 -0.01671965
1683613556.382104 0.92735067 -0.84915885 -0.93173976 -0.04088232 0.05021847 -0.03288555
1683613556.448819 0.46218745 -0.52751011 -0.40377073 -0.03943857 0.04364073 -0.03209278
1683613556.515534 -0.04818920 -0.11838395 0.14814168 -0.03910967 0.03561281 -0.02647490
1683613556.582248 0.03042068 -0.08767045 0.22690232 -0.04180825 0.02993578 -0.01791148
1683613556.648963 -0.34628917 0.14227545 0.44884201 -0.04460077 0.02659387 -0.01268200
1683613556.715678 -0.36386711 0.17129448 0.47942495 -0.04631606 0.02064619 -0.00729615
1683613556.782393 -0.32677980 0.12556628 0.42666414 -0.04427434 0.01523466 -0.00508043
1683613556.849108 -0.24211398 0.04903211 0.34284996 -0.04133661 0.01121116 -0.00523050
1683613556.915822 -0.24513021 0.03212234 0.35344058 -0.04382955 0.01495787 -0.00582610
1683613556.982537 -0.17847172 -0.08176344 0.27028325 -0.04018669 0.01248422 -0.00607287
1683613557.049252 -0.20354886 0.01042439 0.33618317 -0.04382079 0.01410363 -0.00640325
1683613557.115967 -0.17136751 -0.14415537 0.26703373 -0.04111629 0.01134099 -0.00581604
1683613557.182682 -0.25587809 -0.05551012 0.34193053 -0.04353917 0.01262364 -0.00604483
1683613557.249397 -0.25539448 -0.07120589 0.34464834 -0.03886518 0.01080757 -0.00638469
1683613557.316111 -0.25483346 -0.07290622 0.34641542 -0.04307933 0.01198433 -0.00588871
1683613557.382826 -0.19711407 -0.02927237 0.33007636 -0.04164570 0.01269098 -0.00715195
1683613557.449541 -0.16796779 -0.08483503 0.31380796 -0.04201332 0.01119206 -0.00745383
1683613557.516256 -0.20870033 -0.04178839 0.34719544 -0.04012569 0.01138033 -0.00862453
1683613557.582971 -0.25924836 0.01997589 0.36752635 -0.04115472 0.01185005 -0.00890666
1683613557.649686 -0.24825695 0.02840135 0.37404492 -0.04092232 0.01348357 -0.00756705
1683613557.716400 -0.24925221 0.02996432 0.37200283 -0.04080179 0.01291264 -0.00793667
1683613557.783115 0.07110384 -0.05507241 0.00911923 -0.00825627 0.00386196 0.00117999
1683613557.849830 0.02749753 0.01206658 0.04857546 -0.00795161 0.00448669 -0.00461264
1683613557.916545 0.01263445 0.01490569 0.03569396 -0.00888519 0.00272817 -0.00417383
1683613557.983259 0.04251982 -0.02097658 0.01848797 -0.00809664 0.00244337 -0.00260369
1683613558.049974 0.06585257 -0.06316505 -0.00725903 -0.00666539 0.00684750 0.00038958
1683613558.116689 0.05732280 -0.06189847 -0.00538849 -0.00646077 0.00713771 0.00088656
1683613558.183403 0.05202654 -0.05781662 -0.00061910 -0.00552889 0.00669110 -0.00014864
1683613558.250118 0.04231473 -0.05587928 0.00471371 -0.00468849 0.00779966 0.00014145
1683613558.316833 0.04745875 -0.06524522 0.00888368 -0.00453979 0.00737642 0.00121918
1683613558.383548 0.04377208 -0.07410698 0.01047532 -0.00379818 0.00746516 0.00126778
1683613558.450263 0.04316075 -0.07426822 0.01174930 -0.00325181 0.00710249 0.00131763
1683613558.516977 0.04632088 -0.07100865 0.01081727 -0.00263123 0.00643280 0.00139890
1683613558.583692 0.04908893 -0.07428981 0.01191450 -0.00216356 0.00611805 0.00123669
1683613558.650406 0.04548040 -0.02321519 -0.00300206 -0.00202161 0.00536245 0.00120512
1683613558.717121 0.05026672 -0.04182857 0.00362649 -0.00208728 0.00541254 0.00113348
1683613558.783836 0.04904485 -0.04008792 0.00171741 -0.00251642 0.00539081 0.00104294
1683613558.850550 0.03865035 -0.00846309 -0.01172685 -0.00314038 0.00524402 0.00116158
1683613558.917265 0.03215712 -0.00220118 -0.01327617 -0.00374886 0.00513212 0.00125185
1683613558.983979 0.02557058 0.01184033 -0.01825615 -0.00357326 0.00540264 0.00109291
1683613559.050694 0.02774986 0.00219048 -0.01525514 -0.00377615 0.00506412 0.00104101
1683613559.117409 0.03376143 -0.01768481 -0.01025886 -0.00379036 0.00455841 0.00090722
1683613559.184124 0.04194225 -0.04032861 -0.00472943 -0.00363059 0.00421218 0.00075565
1683613559.250839 0.04231903 -0.04598035 -0.00267607 -0.00390334 0.00349669 0.00065483
1683613559.317554 0.04246436 -0.04785161 -0.00268700 -0.00363985 0.00308147 0.00042723
1683613559.384268 0.04526495 -0.05174297 -0.00132913 -0.00349966 0.00309624 0.00046651
1683613559.450983 0.06529975 -0.09054780 0.00852598 -0.00289898 0.00318748 0.00041106
1683613559.517698 0.05444363 -0.06758999 0.00259911 -0.00312352 0.00264536 0.00024441
1683613559.584412 0.05974003 -0.07384953 0.00400915 -0.00278725 0.00245258 0.00011469
1683613559.651127 0.06078111 -0.07486590 0.00438254 -0.00259038 0.00228944 -0.00023227
1683613559.717842 0.06626336 -0.07924375 0.00526156 -0.00221813 0.00192242 -0.00057946
